Id,Platform,Name,AdditionalInformation,Expires
9422f8e6-5486-b90f-bb07-7c447f0d519b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 10:39:59
9422f8e6-5486-b90f-bb07-7c447f0d519b,host,,,2031-12-05 10:39:59
8c586ff2-e781-f42a-33e3-346c34a86e6b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 10:41:25
8c586ff2-e781-f42a-33e3-346c34a86e6b,host,,,2031-12-05 10:41:25
0b9bcb86-1284-d2d6-2847-56ee68cdae06,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 10:42:44
0b9bcb86-1284-d2d6-2847-56ee68cdae06,host,,,2031-12-05 10:42:44
0533faec-a3fe-cc97-c87f-eb58df3468dc,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 10:46:53
0533faec-a3fe-cc97-c87f-eb58df3468dc,host,,,2031-12-05 10:46:53
338f83f9-c636-4398-f461-2bca754b2116,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 13:12:11
338f83f9-c636-4398-f461-2bca754b2116,host,,,2031-12-05 13:12:11
6d9c81b7-447a-b234-2573-f386cedc602e,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 13:17:49
6d9c81b7-447a-b234-2573-f386cedc602e,host,,,2031-12-05 13:17:49
648f44c9-87f1-0cab-200c-bc6328e6e18f,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 13:17:50
648f44c9-87f1-0cab-200c-bc6328e6e18f,host,,,2031-12-05 13:17:50
f13235bb-24d1-feca-536a-48b9ea821ccc,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 13:24:25
f13235bb-24d1-feca-536a-48b9ea821ccc,host,,,2031-12-05 13:24:25
f6b2609e-de39-d593-1a8a-60b04d632a84,data_boundary,microsoftdevice.apps.installedapps,,2031-12-05 13:24:27
f6b2609e-de39-d593-1a8a-60b04d632a84,host,,,2031-12-05 13:24:27
2ba557af-5da3-55f8-a26a-cf2a6fc1421a,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:34:55
2ba557af-5da3-55f8-a26a-cf2a6fc1421a,host,,,2031-12-09 05:34:55
5e5c5640-48a7-ec79-1fcb-b8eec2be0361,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:44:49
5e5c5640-48a7-ec79-1fcb-b8eec2be0361,host,,,2031-12-09 05:44:49
5e7866c3-81cf-bb1e-14b3-3357ffe59bcc,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:44:51
5e7866c3-81cf-bb1e-14b3-3357ffe59bcc,host,,,2031-12-09 05:44:51
c4de217b-325a-4ad9-7654-2216cb15389c,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:44:53
c4de217b-325a-4ad9-7654-2216cb15389c,host,,,2031-12-09 05:44:53
bb19e83e-cf43-d350-68cc-d0d240d5270e,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:44:56
bb19e83e-cf43-d350-68cc-d0d240d5270e,host,,,2031-12-09 05:44:56
bf329873-0645-527e-fc50-09b9ce3b6634,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:44:55
bf329873-0645-527e-fc50-09b9ce3b6634,host,,,2031-12-09 05:44:55
e0549d8f-9845-b6a0-c7c8-9543d28b9698,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:02
e0549d8f-9845-b6a0-c7c8-9543d28b9698,host,,,2031-12-09 05:45:02
e66b7118-ed4b-2bd0-6e0f-e4349ab8f14c,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:01
e66b7118-ed4b-2bd0-6e0f-e4349ab8f14c,host,,,2031-12-09 05:45:01
ee8adca5-a30e-3c69-28c8-1cae8c5d3ff0,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:07
ee8adca5-a30e-3c69-28c8-1cae8c5d3ff0,host,,,2031-12-09 05:45:07
ca4e7360-fbc6-9fb0-572c-783f6c94138f,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:09
ca4e7360-fbc6-9fb0-572c-783f6c94138f,host,,,2031-12-09 05:45:09
0f85eab8-e1ff-10fe-0784-b66850380588,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:13
0f85eab8-e1ff-10fe-0784-b66850380588,host,,,2031-12-09 05:45:13
e53f0cce-5f5c-f767-7292-369a6c37d75b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:16
e53f0cce-5f5c-f767-7292-369a6c37d75b,host,,,2031-12-09 05:45:16
44c0ab48-e0b9-b5e3-f8d8-9973d4aaf297,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:19
44c0ab48-e0b9-b5e3-f8d8-9973d4aaf297,host,,,2031-12-09 05:45:19
019d7117-62a2-5ffe-b1e7-855c4c857ba8,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:21
019d7117-62a2-5ffe-b1e7-855c4c857ba8,host,,,2031-12-09 05:45:21
32a0d418-8e63-307e-926f-5ac14260b47c,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:25
32a0d418-8e63-307e-926f-5ac14260b47c,host,,,2031-12-09 05:45:25
3bf3130e-05f0-3bc0-bd01-3e9b836a1e14,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:27
3bf3130e-05f0-3bc0-bd01-3e9b836a1e14,host,,,2031-12-09 05:45:27
4c9610e7-e327-2886-06b0-66b486a2b00b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:37
4c9610e7-e327-2886-06b0-66b486a2b00b,host,,,2031-12-09 05:45:37
83701005-73ce-4f0e-fd36-b149ae408721,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:41
83701005-73ce-4f0e-fd36-b149ae408721,host,,,2031-12-09 05:45:41
4c52848a-2175-0abe-5766-86aad48688dd,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:43
4c52848a-2175-0abe-5766-86aad48688dd,host,,,2031-12-09 05:45:43
9f2600cf-7f1c-5a53-ac6c-b81e7edfe961,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:46
9f2600cf-7f1c-5a53-ac6c-b81e7edfe961,host,,,2031-12-09 05:45:46
e868cf34-9d66-f74c-088e-e814694ab803,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:57
e868cf34-9d66-f74c-088e-e814694ab803,host,,,2031-12-09 05:45:57
dc24cc75-bd6b-71c5-1402-7496e75603e7,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:45:55
dc24cc75-bd6b-71c5-1402-7496e75603e7,host,,,2031-12-09 05:45:55
b32c07a4-835d-e2cb-076d-117d1d31e53d,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:02
b32c07a4-835d-e2cb-076d-117d1d31e53d,host,,,2031-12-09 05:46:02
23b125cf-de5b-ac77-a17f-d214ad090a0b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:01
23b125cf-de5b-ac77-a17f-d214ad090a0b,host,,,2031-12-09 05:46:01
45eeacae-ead1-6207-ee6b-b9e987accd91,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:19
45eeacae-ead1-6207-ee6b-b9e987accd91,host,,,2031-12-09 05:46:19
988183f7-cd1c-91d3-0ea1-662a7ecd817b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:21
988183f7-cd1c-91d3-0ea1-662a7ecd817b,host,,,2031-12-09 05:46:21
c9794c91-dbc6-774f-a6fc-0ea5ab8341d9,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:25
c9794c91-dbc6-774f-a6fc-0ea5ab8341d9,host,,,2031-12-09 05:46:25
8e15fa02-f39f-6d81-c65f-94574900abef,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:28
8e15fa02-f39f-6d81-c65f-94574900abef,host,,,2031-12-09 05:46:28
