Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedTimeOnClient,CreatedTime,ExpirationTime,OperationExpirationTime,OperationOrder,AppId,OperationType,Description,PlatformDeviceId,DevicePlatform,TimeZone
6449310e-8467-5c61-8cc1-eca90a445308,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-24 07:49:13,,,2024-12-24 07:49:13,2024-12-24 07:49:14,2024-12-24 07:49:13,2031-12-23 07:49:12,2024-12-24 07:48:13,234,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
62f403f0-3473-0a74-d904-f61b9d3ce80a,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:49,,,2024-12-10 05:44:49,2024-12-24 07:49:22,2024-12-24 07:49:13,2031-12-23 07:49:22,2024-12-24 07:48:13,235,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
cac3f47f-48af-6110-ae06-94f65b98ce39,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:50,,,2024-12-10 05:44:50,2024-12-24 07:49:28,2024-12-24 07:49:13,2031-12-23 07:49:28,2024-12-24 07:48:13,236,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
9409a2e7-72f9-df49-455d-2cceb34d0af5,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:50,,,2024-12-10 05:44:50,2024-12-24 07:49:34,2024-12-24 07:49:13,2031-12-23 07:49:32,2024-12-24 07:48:13,237,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
e966e860-09d3-998b-fda3-d4637574d646,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:51,,,2024-12-10 05:44:51,2024-12-24 07:49:40,2024-12-24 07:49:13,2031-12-09 05:45:15,2024-12-24 07:48:13,238,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
d536c15d-fdb9-994e-8ed3-fe84b0ca6f87,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:51,,,2024-12-10 05:44:51,2024-12-24 07:49:46,2024-12-24 07:49:13,2031-12-23 07:49:46,2024-12-24 07:48:13,239,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
8df0f5f9-8d72-dfaa-4854-ae548dfeb954,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:51,,,2024-12-10 05:44:51,2024-12-24 07:49:52,2024-12-24 07:49:14,2031-12-23 07:49:52,2024-12-24 07:48:14,240,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
d1a411f6-0762-afc1-e221-59148e9bc138,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-06 10:39:56,,,2024-12-06 10:39:56,2024-12-24 07:49:58,2024-12-24 07:49:14,2031-12-23 07:49:58,2024-12-24 07:48:14,241,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
89dcd2bf-1a1f-0625-b6e5-9e39705a00c8,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:52,,,2024-12-10 05:44:52,2024-12-24 07:50:02,2024-12-24 07:49:14,2031-12-09 05:45:39,2024-12-24 07:48:14,242,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
9ea88f7d-304c-5246-f53f-8ee0176df98a,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-10 05:44:52,,,2024-12-10 05:44:52,2024-12-24 07:50:09,2024-12-24 07:49:14,2031-12-09 05:45:45,2024-12-24 07:48:14,243,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
301027a3-82d5-bd36-2b0d-2d16d25d80a1,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-06 10:39:56,,,2024-12-06 10:39:56,2024-12-24 07:50:16,2024-12-24 07:49:14,2031-12-23 07:50:16,2024-12-24 07:48:14,244,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
